Date,Closing Price,Volume,Open Price,Closing Price 1 Day Ago,High Price,Low Price
12-08-2021,510.72,1686170,511.86,512.4,513,507.2014
11-08-2021,512.4,1673904,517,515.84,519.57,509.77
10-08-2021,515.84,1960544,520,519.97,520.79,512.965
09-08-2021,519.97,1367782,521.1469,520.55,522.6699,517.99
06-08-2021,520.55,1919798,524,524.89,526.84,519.39
05-08-2021,524.89,2556687,517.13,517.35,525.41,514.02
04-08-2021,517.35,2039374,513,510.82,517.98,510.37
03-08-2021,510.82,2579427,514.39,515.15,515.63,505.37
02-08-2021,515.15,2096632,519,517.57,519.85,510.51
30-07-2021,517.57,2537107,512.69,514.25,519.79,510.9642
29-07-2021,514.25,1736014,519.96,519.3,520.7799,513.7927
28-07-2021,519.3,2390466,521.82,518.91,524.47,516.98
27-07-2021,518.91,2759037,518.08,516.49,521.95,512.05
26-07-2021,516.49,2254538,514.38,515.41,521.13,509.0101
23-07-2021,515.41,3820478,512.16,511.77,517.41,504.66
22-07-2021,511.77,4328061,510.2059,513.63,513.68,507
21-07-2021,513.63,11906793,526.13,531.05,530.99,505.61
20-07-2021,531.05,6930440,526.07,532.28,536.64,520.3
19-07-2021,532.28,3885764,526.05,530.31,534.913,522.2401
16-07-2021,530.31,3442101,541.81,542.95,544.06,527.05
15-07-2021,542.95,5713873,553.97,547.95,557.5399,538.2
14-07-2021,547.95,4659535,541.01,540.68,554.1,541.01
13-07-2021,540.68,2751593,535.76,537.31,545.33,535.76
12-07-2021,537.31,1780738,540.3,535.98,540.6497,532.92
09-07-2021,535.98,2777231,531,530.76,538.26,528.58
08-07-2021,530.76,3268988,530.93,535.96,535.5,529.09
07-07-2021,535.96,2722498,544.24,541.64,544.64,531.66
06-07-2021,541.64,2775051,533,533.98,542.86,533
02-07-2021,533.98,1980316,535.5,533.54,538.5351,529.39
01-07-2021,533.54,2805402,525.72,528.21,537.04,525.72
